country,average
"Hong Kong SAR, China",82.62
Japan,82.55
"Macao SAR, China",82.20
Switzerland,81.75
Iceland,81.63
Italy,81.45
Spain,81.21
Liechtenstein,81.20
Australia,81.19
Sweden,81.06
France,80.99
Israel,80.89
Canada,80.78
Singapore,80.66
Norway,80.60
New Zealand,80.27
Faroe Islands,80.19
Malta,80.11
Luxembourg,80.08
Netherlands,80.06
Austria,80.03
Greece,79.84
United Kingdom,79.69
Belgium,79.64
Finland,79.64
Ireland,79.61
Channel Islands,79.56
Germany,79.54
Bermuda,79.51
"Korea, Rep.",79.29
Cyprus,79.16
Portugal,78.88
Denmark,78.67
Slovenia,78.58
Costa Rica,78.55
Cuba,78.43
Puerto Rico,78.41
Chile,78.19
Virgin Islands (U.S.),78.04
United States,77.95
Lebanon,77.53
Guam,77.47
Qatar,77.14
Czech Republic,76.87
Panama,76.49
Brunei Darussalam,76.42
New Caledonia,76.33
Uruguay,76.22
Albania,76.15
Croatia,75.94
United Arab Emirates,75.89
Mexico,75.79
Poland,75.74
Bahrain,75.74
Bosnia and Herzegovina,75.66
Argentina,75.25
Antigua and Barbuda,75.04
Oman,74.94
Slovak Republic,74.89
French Polynesia,74.87
Montenegro,74.81
Vietnam,74.79
Aruba,74.75
Maldives,74.75
Ecuador,74.66
Barbados,74.64
China,74.54
Tunisia,74.52
"Macedonia, FYR",74.44
"Bahamas, The",74.26
Jamaica,74.23
Estonia,74.05
Malaysia,73.98
Sri Lanka,73.89
Kuwait,73.85
Hungary,73.76
St. Lucia,73.72
Algeria,73.66
Saudi Arabia,73.44
"Venezuela, RB",73.42
Turkey,73.31
Bulgaria,73.24
"Iran, Islamic Rep.",73.12
Thailand,73.09
Jordan,73.07
Armenia,73.07
Peru,73.06
Brazil,73.02
Romania,73.02
Mauritius,72.94
Nicaragua,72.85
Colombia,72.84
Morocco,72.73
Georgia,72.68
Lithuania,72.67
Latvia,72.48
Syrian Arab Republic,72.46
Dominican Republic,72.26
Samoa,72.26
West Bank and Gaza,72.12
Grenada,72.09
Honduras,72.08
Tonga,71.90
St. Vincent and the Grenadines,71.85
Paraguay,71.80
Caribbean small states,71.75
Cabo Verde,71.72
Libya,71.40
El Salvador,71.25
Guatemala,70.78
Belarus,70.49
"Egypt, Arab Rep.",70.02
Vanuatu,70.01
